location,country
Buenos Aires,Argentina
Adelaide,Australia
Melbourne,Australia
Spielberg,Austria
Styria,Austria
Baku,Azerbaijan
Sakhir,Bahrain
Brussels,Belgium
Heusden-Zolder,Belgium
Spa,Belgium
Rio de Janeiro,Brazil
SÃ£o Paulo,Brazil
Montreal,Canada
Ontario,Canada
Quebec,Canada
Shanghai,China
Clermont-Ferrand,France
Dijon,France
Le Castellet,France
Le Mans,France
Magny Cours,France
Reims,France
Rouen,France
Berlin,Germany
Hockenheim,Germany
NÃ¼rburg,Germany
Budapest,Hungary
Uttar Pradesh,India
Imola,Italy
Monza,Italy
Mugello,Italy
Pescara,Italy
Okayama,Japan
Oyama,Japan
Suzuka,Japan
Yeongam County,Korea
Kuala Lumpur,Malaysia
Mexico City,Mexico
Monte-Carlo,Monaco
Casablanca,Morocco
Zandvoort,Netherlands
Estoril,Portugal
Lisbon,Portugal
Oporto,Portugal
PortimÃ£o,Portugal
Al Daayen,Qatar
Sochi,Russia
Jeddah,Saudi Arabia
Marina Bay,Singapore
Eastern Cape Province,South Africa
Midrand,South Africa
Barcelona,Spain
Jerez de la Frontera,Spain
Madrid,Spain
MontmelÃ³,Spain
Valencia,Spain
Anderstorp,Sweden
Bern,Switzerland
Istanbul,Turkey
Abu Dhabi,UAE
Castle Donington,UK
Kent,UK
Liverpool,UK
Silverstone,UK
Las Vegas,United States
Austin,USA
California,USA
Dallas,USA
Detroit,USA
Florida,USA
Indianapolis,USA
Miami,USA
Nevada,USA
New York State,USA
Phoenix,USA
